"IA3100899","ATTN BROTHER JOSEPH KRONEBUSCH_6632 MELLERAY CIRCLE","PEOSTA","IA","52068-7079"
"MO3060800","CEDAR KNOLL HOME_13635 STATE ROUTE V","ST JAMES","MO","65559-0000"
"CO0108450","440 PONCHA BLVD_","SALIDA","CO","81201"
"CO0139344","401 PURDY MESA RD_","WHITEWATER","CO","81527"
"CA4300578","6930 Laura Lane_","GILROY","CA","95020"
"NJ1518010","420 EAST MAIN STREET_","TUCKERTON","NJ","08087"
"UTAH02069","9250 N 11650 W_","TREMONTON","UT","84337"
"GA1270029","6823 NEW JESUP HWY_","BRUNSWICK","GA","31523"
"GA1270056","6823 NEW JESUP HWY_","BRUNSWICK","GA","31523"
"MN1500011","Lyle City Hall_315 First Street","Lyle","MN","55953"
"MN1500012","Racine City Hall_","Racine","MN","55967"
"MN1500021","508 West Oakland Avenue_","Austin","MN","55912"
"NJ1901001","137 MAIN ST_","ANDOVER","NJ","07821"
"NJ0805003","573 SPRINGFIELD AVE_","SUMMIT","NJ","07901"
"FL6295493","8421 PRITCHER RD_","LITHIA","FL","33547"
"MI0040131","11404 NORTH STRAITS HWY_","CHEBOYGAN","MI","49721"
"MI0001990","410 ABBOTT ROAD_","EAST LANSING","MI","48823"
"FL6296039","5337 GARDEN LANE_","TAMPA","FL","33610"
"MO5010650","304 E MILLER ST_","PLEASANT HOPE","MO","65725-0000"
"MO5010241","135 W SPRING_","EL DORADO SPRINGS","MO","64744-1769"
"OK1021209","Tom Briggs, Mayor_510 Illinois Street","PAWNEE","OK","74058-2036"
"TX0590002","116 DOMINGO ST_","HEREFORD","TX","79045-9646"
"TX1010832","20520 FALVEL RD_","SPRING","TX","77388-4623"
"TX1010613","20520 FALVEL RD_","SPRING","TX","77388-4623"
"TX1010628","20520 FALVEL RD_","SPRING","TX","77388-4623"
"MO1024035","117 W OHIO ST_","BUTLER","MO","64730-0000"
"MO1010546","12312 4TH ST_","MOSBY","MO","64024-0000"
"AL0000368","_25714 Grimes Alley","ANDALUSIA","AL","36421"
"NY5503747","224 SKYTOP DRIVE_","KINGSTON","NY","12401"
"WA5319945","1431 NW Finn Hill Rd_","Poulsbo","WA","98370"
"TX2320013","1000 FM 140_","UVALDE","TX","78801-1240"
"TX2270058","4185 COUNTY ROAD 154_","GLENWOOD SPRINGS","CO","81601-9677"
"GA2270003","40 Little Pine Mtn. Rd. #20202_","JASPER","GA","30143"
"TX1300008","99 SEPTEMBER LN_","BOERNE","TX","78006-3546"
"TX1010500","3700 BUFFALO SPEEDWAY STE 830_","HOUSTON","TX","77098-3709"
"NC3001005","2747 DARRELL NEWTON DR_","GRAHAM","NC","27253"
"NC0276113","169 HOLDER INMAN ROAD_","RANDLEMAN","NC","27317"
"NC0332106","619 LYNN RD_","DURHAM","NC","27703"
"IL1790100","VillageHall_103 N. THORNCREST","CREVE COEUR","IL","61610"
"IL1210020","FMC WATER COMPANY_1305 FERRYDALE ROAD","ODIN","IL","62870"
"WA5320050","3671 EDGEWOOD DR_","PORT ANGELES","WA","98363"
"TX0920003","815 N KILGORE ST_","KILGORE","TX","75662-5860"
"WA5315518","686 Old Arden Hwy #11_","Colville","WA","99114"
"WA5315523","1661 West Gillis Rd_","Othello","WA","99344"
"WA5315531","1230 Ruddell Rd SE_","Lacey","WA","98503"
"WA5315532","13315 Goodnough Dr NW_","Gig Harbor","WA","98332-8640"
"TX0570098","1502 RANCH RD_","GRAND PRAIRIE","TX","75052-2613"
"TX0790521","3200 SOUTHWEST FWY STE 2600_","HOUSTON","TX","77027-7537"
"TX1011602","13121 LOUETTA RD # 1040_","CYPRESS","TX","77429-5155"
"TX1012229","6750 WEST LOOP S STE 865_","BELLAIRE","TX","77401-4125"
"WA5320000","14263 Calhoun Rd_","Mount Vernon","WA","98273"
"FL2100150","5629 SR 16 WEST_# 2300","STARKE","FL","32091-9703"
"PA4560014","691 WHITE OAK DRIVE_","ROCKWOOD","PA","15557"
"IA1689022","ATTN BRIAN BRENNAN_407 LYNN ST","TIPTON","IA","52772"
"OK3005745","John Hamilton, President_500 Diamondhead","SAND SPRINGS","OK","74063"
"OK3007213","Ron Doss_400 1/2 Valley Dr.","SAND SPRINGS","OK","74063-6211"
"OK3001934","Park Street Partners C/O Brad Johnson_27762 Antonio Parkway L1-435","LADERA RANCH","CA","92694"
"105300048","25962 COMMUNITY PLAZA WAY_","SEDRO-WOOLLEY","WA","98284"
"VT0005535","_30 RUSSELL CIRCLE","MILTON","VT","05468"
"CO0134640","2536 RIMROCK AVE, STE 400 #156_","GRAND JUNCTION","CO","81505"
"KS2002905","412 WASHINGTON_","CLYDE","KS","66938"
"AL0000935","_2202 ASBURY RD","ALBERTVILLE","AL","35951"
"OK3006303","Robbie Fitzgerald_17508 Bethel Road","SHAWNEE","OK","74801"
"CO0235184","CSU 6030 CAMPUS DELIVERY_","FORT COLLINS","CO","80523-6030"
"MI0040339","2411 HALL RD_","MUSKEGON","MI","49442"
"AR0000431","201 N MAIN ST_","HARRISBURG","AR","72432"
"AL0000589","_1023 VALLEY DRIVE","ATTALLA","AL","35954"
"AR0000115","12306 HWY 98_","VILLAGE","AR","71753"
"WA5320030","4001 Summitview Ave #5-191_","Yakima","WA","98908"
"NY5501280","_1586 State Route 28","WEST HURLEY","NY","12491-5708"
"NC0136145","1207 SOUTH POINT ROAD_","BELMONT","NC","28012"
"NY2622902","5778 Mill Street_","EATON","NY","13346"
"NY2600961","5778 Mill Street_","EATON","NY","13346"
"MA2270001","ATTN:  JEFFREY QUICK_50 MAPLE STREET","MILFORD","MA","01757"
"MA3093000","19 NORMAN STREET_","EVERETT","MA","02149"
"FL2011006","5620 NW 120 LANE_","GAINESVILLE","FL","32653"
"FL6280181","11 MARANATHA BLVD_","SEBRING","FL","33870"
"VA4127455","3210 Conningham Lane_","HENRICO","VA","23233"
"NJ1601001","101 HAMBURG TPKE_","BLOOMINGDALE BORO","NJ","07403"
"NJ1605001","167 JOHN F KENNEDY PKWY_","SHORT MILLS","NJ","07078"
"ID7100024","10727 N YELLOWSTONE HWY_","IDAHO FALLS","ID","83401"
"TX1880015","210 W MOBLEY ST SPC 4_","AMARILLO","TX","79108-1607"
"FL6295398","12928 CHRIS PLACE_","THONOTOSASSA","FL","33592"
"NM3592219","_2141 US HWY 82","CLOUDCROFT","NM","88317"
"UTAH11070","87 N. Highland Dr_","CEDAR CITY","UT","84721"
"UTAH11089","87 N. Highland Dr_","CEDAR CITY","UT","84721"
"UTAH11042","87 N. Highland Dr_","CEDAR CITY","UT","84721"
"UTAH11087","87 N. Highland Dr_","CEDAR CITY","UT","84721"
"UTAH11085","87 N. Highland Dr_","CEDAR CITY","UT","84721"
"IA2900626","ATTN EVERETT FRY_14876 WASHINGTON ST LOT 117","WEST BURLINGTON","IA","52655"
"IA9433336","ATTN JASON BISHOP_2232 141ST ST","FORT DODGE","IA","50501"
"IA5200303","ATTN JIM BLAYER  OPERATOR_4321 PINE RIDGE TR NE","IOWA CITY","IA","52240"
"FL2041320","3176 OLD JENNINGS ROAD_","MIDDLEBURG","FL","32068-3907"
"FL6295970","7203 FLORIDA AVE_","TAMPA","FL","33604"
"ID7260084","186 N YELLOWSTONE HWY_","RIGBY","ID","83442"
"TX0430011","300 COUNTRY CLUB DR BLDG 100_","WYLIE","TX","75098-3000"
"MN1510009","Slayton City Hall_2424 26th Street","Slayton","MN","56172"
"TX1700489","10000 MEMORIAL DR STE 260_","HOUSTON","TX","77024-3430"
"NC0452020","145 FRANCKS FIELD RD_","TRENTON","NC","28585"
"FL6295604","3914 TANNER RD_","DOVER","FL","33527"
"CO0162843","301 WALNUT ST_","WINDSOR","CO","80550"
"MO6010539","723 N STURGEON_","MONTGOMERY CITY","MO","63361-0000"
"MN1530010","Wilmont City Hall_316 4th Avenue","Wilmont","MN","56185"
"FL1030050","3410 TRANSMITTER ROAD_","PANAMA CITY","FL","32404"
"FL6295184","16350 BRUCE B DOWNS BLVD #46878_","TAMPA","FL","33646"
"TX0500017","103 GATEWAY CIR_","GATESVILLE","TX","76528-3128"
"TX1870080","1699 FM 2665_","GOODRICH","TX","77335-7114"
"TX1870139","1699 FM 2665_","GOODRICH","TX","77335-7114"
"TX2270246","907 CRYSTAL MOUNTAIN DR_","AUSTIN","TX","78733-6121"
"MN1450008","Oslo City Hall_107 3rd Avenue East","Oslo","MN","56744-0187"
"MN1450009","Stephen City Hall_","Stephen","MN","56757"
"MN1450010","Nancy McCullough, Clerk_Strandquist City Hall","Strandquist","MN","56758"
"MN1450012","Warren City Hall_120 East Bridge Avenue","Warren","MN","56762-1510"
"TX1290011","15269 FM 2860_","KAUFMAN","TX","75142-7923"
"IL1050250","209 SOUTH PRAIRIE AVENUE_","DWIGHT","IL","60420"
"MN1500023","67374 310th Street_","Dexter","MN","55926-7149"
"MI0001490","505 West Vienna_","CLIO","MI","48420"
"105300089","4820 SHE-NAH-NUM DR. S.E._","OLYMPIA","WA","98513"
"105300014","4820 SHE-NAH-NUM DR. S.E._","OLYMPIA","WA","98513"
"VT0005275","_1027 HALLSTROM RD","NORTHFIELD","VT","05663"
"UTAH03086","11910 N 2000 E_","COVE","UT","84320"
"UTAH20012","11940 E 24660 N_","FAIRVIEW","UT","84629"
"MN1470008","Litchfield City Hall_126 Marshall Avenue North","Litchfield","MN","55355-0521"
"FL6295355","11415 HOPE INTERNATIONAL DR_","TAMPA","FL","33625"
"AR0000140","50 OAK TERRACE_","VAN BUREN","AR","72956-0000"
"NY5030080","7320 Snell Hill Road_","BATH","NY","14810"
"WA5317999","21971 N Hwy 101_","Shelton","WA","98584"
"WA5318100","41315 Vista Dr_","Davenport","WA","99122"
"WA5318180","203106 Bowles Rd_","Kennewick","WA","99337"
"MN1500001","Adams City Hall_303 West Main Street","Adams","MN","55909"
